t,R_s
9.689600847195833921e-05,3.208926406036058943e-01
9.799787221709266305e-05,3.230881795533347423e-01
9.899394353851675987e-05,3.253182150603072254e-01
9.999422036344185472e-05,3.275219482069179344e-01
1.009987463476136327e-04,3.297520848768148993e-01
1.018952898448333144e-04,3.319077656343034088e-01
1.029080594889819622e-04,3.340260161097386993e-01
1.039253329508937895e-04,3.361027897861421088e-01
1.049472266458906233e-04,3.381907925471615561e-01
1.059738497133366764e-04,3.403026697583553806e-01
1.068904603016562760e-04,3.423953260139002697e-01
1.079262656276114285e-04,3.444099856546803951e-01
1.089670258807018399e-04,3.464414383409221698e-01
1.098963257391005754e-04,3.485033410674287513e-01
1.109464938053861260e-04,3.504968576569950089e-01
1.118841755669564009e-04,3.525588615464261277e-01
1.129437878262251616e-04,3.544937036398010943e-01
1.138898733188398182e-04,3.564950097745513968e-01
1.149589807027950883e-04,3.584649554027166118e-01
1.159135572379454970e-04,3.604602929249233201e-01
1.169922907138243318e-04,3.623998896757482102e-01
1.179555110866203904e-04,3.642837456551912267e-01
1.189228496514260769e-04,3.662497459293021507e-01
1.198943500639870763e-04,3.682010775793652657e-01
1.209923357237130404e-04,3.700976800872912698e-01
1.219728801515884697e-04,3.720373780010405862e-01
1.229577901540324092e-04,3.739644305492313414e-01
1.239471457665786147e-04,3.759366017617348787e-01
1.249410270247608423e-04,3.779148427497065477e-01
1.259395503439009190e-04,3.798444243710090706e-01
1.269427448278293014e-04,3.818085025495550622e-01
1.279506977880373597e-04,3.838091005438341585e-01
1.289634528802707791e-04,3.857671089469121850e-01
1.299810683121904731e-04,3.877256231646125650e-01
1.308755017817020416e-04,3.896709862021320858e-01
1.319032890023663640e-04,3.916462934652941152e-01
1.329371152678504586e-04,3.935978274412061384e-01
1.339739683317020535e-04,3.955286230176022766e-01
1.348835357930511236e-04,3.974827872295506048e-01
1.359257585136219859e-04,3.994076141934030932e-01
1.369709061691537499e-04,4.013071504261385702e-01
1.378878368996083736e-04,4.031854424447358087e-01
1.389386161463335156e-04,4.050465367661734706e-01
1.399925386067479849e-04,4.068944799074303287e-01
1.409174001310020685e-04,4.087333183854850449e-01
1.419775217073038220e-04,4.105670987173163922e-01
1.429079566150903702e-04,4.123841871666104608e-01
1.439746556570753455e-04,4.142297023976801440e-01
1.449110277462750673e-04,4.160108780087880542e-01
1.459846826037392020e-04,4.178139048115810938e-01
1.469273120164871216e-04,4.195870885516561066e-01
1.478729536756873131e-04,4.213922397758629868e-01
1.489574933657422662e-04,4.231943561123358011e-01
1.499111094744876027e-04,4.249838270832501652e-01
1.508717687102034688e-04,4.267510422107815837e-01
1.519796205684542656e-04,4.285998958183585561e-01
1.529586588731035590e-04,4.303839039913516795e-01
1.539481891086325049e-04,4.321512202818075243e-01
1.549490261822938919e-04,4.339499982417729385e-01
1.559619850013405085e-04,4.356905063572446557e-01
1.569879241287708282e-04,4.374776505808963267e-01
1.578782539581879973e-04,4.392060191454320028e-01
1.589304883964359760e-04,4.409648377502325411e-01
1.599980460014194250e-04,4.427621994292553209e-01
1.609258470125496387e-04,4.445093842977420606e-01
1.618659152882173657e-04,4.462555575369841487e-01
1.629785983823239803e-04,4.479931319276463930e-01
1.639454567339271307e-04,4.497145202503938233e-01
1.649246405577287078e-04,4.514278155391837632e-01
1.659166591707617044e-04,4.531254305746811317e-01
1.669220364419743419e-04,4.547997781375509030e-01
1.679413981037214398e-04,4.565000234090844655e-01
1.689753844402730465e-04,4.581785186518574360e-01
1.698487321846187115e-04,4.598854406764059100e-01
1.709089556243270636e-04,4.615330812272160910e-01
1.719739520922303200e-04,4.632694416627846645e-01
1.728645875118672848e-04,4.649921451035501363e-01
1.739384315442293882e-04,4.666555670705774261e-01
1.748399226926267147e-04,4.683519681509812349e-01
1.759300794219598174e-04,4.700357238658264825e-01
1.768457586877048016e-04,4.717022818835122644e-01
1.779535232344642282e-04,4.733470898724373432e-01
1.788843364920467138e-04,4.750223479016272843e-01
1.798223966034129262e-04,4.766834431213917700e-01
1.809599343687295914e-04,4.782857626820403163e-01
1.819187455112114549e-04,4.799225787999323867e-01
1.828878739615902305e-04,4.814925262247512494e-01
1.838677853811532259e-04,4.830478050255221922e-01
