t,P_c,u_c,R_c
4.799955e-03,1.592252e+02,-1.817645e+01,1.043476e-01
4.849845e-03,1.570103e+02,-1.807769e+01,1.043476e-01
4.899871e-03,1.548435e+02,-1.798023e+01,1.043476e-01
4.949849e-03,1.527309e+02,-1.788441e+01,1.043476e-01
4.999953e-03,1.506633e+02,-1.778993e+01,1.043476e-01
5.049999e-03,1.486484e+02,-1.769703e+01,1.043476e-01
5.099982e-03,1.466839e+02,-1.760579e+01,1.043476e-01
5.149895e-03,1.447692e+02,-1.751613e+01,1.043476e-01
5.199919e-03,1.428961e+02,-1.742773e+01,1.043476e-01
5.249862e-03,1.410683e+02,-1.734083e+01,1.043476e-01
5.299908e-03,1.392810e+02,-1.725516e+01,1.043476e-01
5.349863e-03,1.375385e+02,-1.717098e+01,1.043476e-01
5.399914e-03,1.358318e+02,-1.708794e+01,1.043476e-01
5.449863e-03,1.341676e+02,-1.700632e+01,1.043476e-01
5.499899e-03,1.325376e+02,-1.692577e+01,1.043476e-01
5.549823e-03,1.309462e+02,-1.684658e+01,1.043476e-01
5.599826e-03,1.293866e+02,-1.676838e+01,1.043476e-01
5.649904e-03,1.278587e+02,-1.669120e+01,1.043476e-01
5.699856e-03,1.263662e+02,-1.661527e+01,1.043476e-01
5.749875e-03,1.249033e+02,-1.654032e+01,1.043476e-01
5.799959e-03,1.234684e+02,-1.646630e+01,1.043476e-01
5.849904e-03,1.220666e+02,-1.639352e+01,1.043476e-01
5.899907e-03,1.207023e+02,-1.631989e+01,1.043476e-01
5.949963e-03,1.192210e+02,-1.623059e+01,1.043476e-01
5.999867e-03,1.175901e+02,-1.629707e+01,1.043476e-01
6.049818e-03,2.749529e+02,-3.640277e+01,1.043476e-01
6.099814e-03,2.259655e+04,-1.292859e+02,1.043476e-01
6.149850e-03,4.135016e+04,-1.903274e+02,1.043476e-01
6.199925e-03,3.154746e+04,-2.110300e+02,1.043476e-01
6.249818e-03,2.035295e+04,-2.163663e+02,1.043476e-01
6.299901e-03,1.427157e+04,-2.208447e+02,1.043476e-01
6.350004e-03,9.984155e+03,-2.271752e+02,1.043476e-01
6.400001e-03,5.782286e+03,-2.181028e+02,1.043476e-01
6.450005e-03,4.321596e+03,-2.344259e+02,1.043476e-01
6.500000e-03,2.169298e+03,-5.318213e+02,1.043476e-01
6.550005e-03,1.205372e+02,-1.057012e+03,1.043476e-01
6.599989e-03,1.233546e+02,-1.053713e+03,1.043476e-01
6.650003e-03,1.242092e+02,-1.051767e+03,1.043476e-01
6.700006e-03,1.249818e+02,-1.049836e+03,1.043476e-01
6.750007e-03,1.257924e+02,-1.048208e+03,1.043476e-01
6.800007e-03,1.261965e+02,-1.046473e+03,1.043476e-01
6.850007e-03,1.273936e+02,-1.044921e+03,1.043476e-01
6.900007e-03,1.278278e+02,-1.042874e+03,1.043476e-01
6.950008e-03,1.288086e+02,-1.041218e+03,1.043476e-01
7.000009e-03,1.292376e+02,-1.040176e+03,1.043476e-01
7.050009e-03,1.297441e+02,-1.038212e+03,1.043476e-01
7.100009e-03,1.313085e+02,-1.036491e+03,1.043476e-01
7.150009e-03,1.309714e+02,-1.034404e+03,1.043476e-01
7.200008e-03,1.331374e+02,-1.034058e+03,1.043476e-01
7.250009e-03,1.325122e+02,-1.032848e+03,1.043476e-01
7.300009e-03,1.333569e+02,-1.031249e+03,1.043476e-01
7.350010e-03,1.347299e+02,-1.028833e+03,1.043476e-01
7.400010e-03,1.362164e+02,-1.028988e+03,1.043476e-01
7.450011e-03,1.353717e+02,-1.026856e+03,1.043476e-01
7.500010e-03,1.349775e+02,-1.024704e+03,1.043476e-01
7.550010e-03,1.381425e+02,-1.023852e+03,1.043476e-01
7.600011e-03,1.390060e+02,-1.024152e+03,1.043476e-01
7.650011e-03,1.366255e+02,-1.021478e+03,1.043476e-01
7.700012e-03,1.358805e+02,-1.019574e+03,1.043476e-01
7.750012e-03,1.381950e+02,-1.019064e+03,1.043476e-01
7.800012e-03,1.395868e+02,-1.019382e+03,1.043476e-01
7.850013e-03,1.389105e+02,-1.017774e+03,1.043476e-01
7.900013e-03,1.388381e+02,-1.014792e+03,1.043476e-01
7.950013e-03,1.411289e+02,-1.015156e+03,1.043476e-01
